STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
JSGLEASING,32.6,32.6,32.6,32.6,31.1
CSBBANK,258.6,260.2,267.5,256.3,260.7
UJJIVANSFB,28.85,29.2,29.45,28.15,28.9
SHIL,284.8,277,292,273.45,278.15
EASUN,19,#N/A,#N/A,#N/A,19
PRINCEPIPE,529.05,497.65,542.2,493.65,493
ASSAMENT,256.2,256.2,256.2,256.2,244
GIANLIFE,15,15,15,15,15
ARTEMISMED,192.1,190.8,194,185.65,190.95
SUMICHEM,299.05,302.3,308.75,298.3,307
ICICIM150,92.3,92,93,91.51,92.84
MANXT50ETF,344.5,349,349.5,340.75,346.5
JANUSCORP,122.55,#N/A,#N/A,#N/A,122.55
VARDHANCFL,0,#N/A,#N/A,#N/A,14.66
BIRLATYRES,24.3,24.5,25.5,23.65,24.3
UNIVPHOTO,175.4,168,185,168,179.2
CBPL,50,#N/A,#N/A,#N/A,50
ICLORGANIC,20.9,#N/A,#N/A,#N/A,20.9
OCTAVIUSPL,0,#N/A,#N/A,#N/A,33.66
SUVENPHAR,537.05,550.5,550.5,537.05,547.65
SMAUTO,16.5,#N/A,#N/A,#N/A,16.5
SBICARD,983.25,967.85,1005.85,967,988.7
08MPD,0,#N/A,#N/A,#N/A,0.01
08ADR,0,#N/A,#N/A,#N/A,0.01
08MPR,0.02,#N/A,#N/A,#N/A,0.02
08AMD,0,#N/A,#N/A,#N/A,0.01
08AMR,0,#N/A,#N/A,#N/A,0.01
08BPB,0,#N/A,#N/A,#N/A,0.01
08GPG,3.8,4.1,4.1,3.7,4.11
08ABB,0.04,#N/A,#N/A,#N/A,0.04
08QPD,0,#N/A,#N/A,#N/A,0.01
08AGG,0,#N/A,#N/A,#N/A,0.01
08QPR,0,#N/A,#N/A,#N/A,0.01
08AQD,0,#N/A,#N/A,#N/A,0.01
08DPD,0,#N/A,#N/A,#N/A,0.01
08AQR,0,#N/A,#N/A,#N/A,0.01
08DPR,0.02,#N/A,#N/A,#N/A,0.02
08ADD,0.03,#N/A,#N/A,#N/A,0.03
ROJL,22,#N/A,#N/A,#N/A,22
COSPOWER,40.8,40.8,40.8,40.8,51
11DPR,0.07,0.07,0.07,0.07,0.06
11GPG,2.3,2.11,2.38,2.11,2.34
11MPD,1.9,1.91,2.1,1.76,1.91
11MPR,0.07,0.07,0.07,0.07,0.06
11QPD,0.04,#N/A,#N/A,#N/A,0.04
11QPR,0.02,#N/A,#N/A,#N/A,0.02
11ADD,0.05,#N/A,#N/A,#N/A,0.05
11ADR,0,#N/A,#N/A,#N/A,0.01
11AGG,12.35,12.25,12.9,12.25,13.5
11AMD,0.18,0.18,0.18,0.18,0.17
11AMR,0,#N/A,#N/A,#N/A,0.01
11AQD,0.05,#N/A,#N/A,#N/A,0.05
11AQR,0,#N/A,#N/A,#N/A,0.01
