STOCK,CURR_PRICE,OPEN,HIGH,LOW,PREV_CLOSE
FACT,109.15,112,115.45,107.85,113.5
FAIRCHEMOR,731.1,727,739.2,710.4,729.25
FCL,71.8,71.5,74,71.5,71.3
FCONSUMER,7,7.1,7.2,6.9,7.1
FCSSOFT,0.7,0.7,0.75,0.65,0.7
FDC,304,304.8,311.7,303.05,305.55
FEDERALBNK,80.05,77.05,82.9,76.25,77.55
FEL,9.65,9.65,10,9.4,9.65
FELDVR,13.15,13.4,13.5,13,13.35
FIEMIND,599,611.8,614,592.25,613.95
FILATEX,93.6,85,94,81.1,84.2
FINCABLES,362.15,365,367.95,360.7,366.15
FINEORG,2871,2861.35,2948,2852.35,2900.85
FINPIPE,150.95,153.75,153.75,150.3,149.6
FLEXITUFF,22.15,22.1,22.15,21.6,21.1
FLFL,59,59.6,61.3,58.45,60.05
FLUOROCHEM,796,790.4,819,771.6,790.4
FMGOETZE,291.85,289.95,302.75,288,291.95
FMNL,16.1,16,16.25,15.5,16.2
FORCEMOT,1111.1,1118,1141.45,1110.05,1123
FORTIS,211,210.45,215.5,210,210.25
FOSECOIND,1321.15,1350,1353.15,1305,1345.35
FRETAIL,51.1,51.4,52.45,49.25,51.3
FSC,80,80.8,80.8,78.3,79.8
FSL,112.9,112.25,114.45,112,113.45
GABRIEL,106,107,107.9,106,107.5
GAEL,150,142.4,153.5,142.4,143.9
GAIL,137.25,133.45,141.45,132.3,134.8
GAL,2.2,2.25,2.3,2.1,2.25
GALAXYSURF,2923.8,2918,2960,2875,2911.65
GALLANTT,53.35,54.05,56.7,53.1,53.95
GALLISPAT,41.5,41.45,45,40.65,43.15
GAMMNINFRA,0.75,0.7,0.75,0.7,0.7
GANDHITUBE,304,303,310,300,310.2
GANECOS,584,580.75,599.75,575.05,589
GANESHHOUC,70.65,70.1,71.6,67,70
GANGESSECU,63.4,61.3,63.5,61.3,62.1
GARFIBRES,2620,2612,2670.1,2577.2,2612.1
GATI,96.45,97.1,98.9,95.25,97.65
GAYAHWS,0.6,0.6,0.6,0.55,0.6
GAYAPROJ,28.1,28,29.15,27.55,28.25
GBGLOBAL,6.85,6.85,7.15,6.85,6.85
GDL,203.4,207.8,211.2,202,211.9
GEECEE,101.85,103,103.4,101.15,103.5
GEEKAYWIRE,75,76.8,77.05,74,76.8
GENCON,44.65,44.05,45.75,41.1,44
GENESYS,108.6,107,108.8,106.15,103.65
GENUSPAPER,7.25,7.45,7.45,7.25,7.4
GENUSPOWER,46,47,47.75,46,47.05
GEOJITFSL,51.8,53.3,53.3,51.5,52.45
GEPIL,259.5,261.05,265.45,258.8,263.85
GESHIP,315,303,324,302.9,305.05
GET&D,115,114.65,117,113.15,115
GFLLIMITED,69.9,71.25,71.35,69.8,70.7
GFSTEELS,1.95,#N/A,#N/A,#N/A,1.95
GHCL,235.6,233.75,236.9,232.05,233.75
GICHSGFIN,113.2,113.05,115.6,112.55,113.45
GICRE,204.85,204.2,208,202.05,202.2
GILLANDERS,39,39.1,40.95,38.2,39
GILLETTE,5495,5495,5510,5439.1,5492.4
GINNIFILA,21.5,20.65,22.3,20.5,20.65
GIPCL,75.85,75.35,76.4,75,75.5
GISOLUTION,2.05,#N/A,#N/A,#N/A,2.05
GKWLIMITED,526.9,528.05,529.05,516,524.1
GLAND,2775,2651,2818.3,2629,2651.05
GLAXO,1461.7,1455,1464.9,1440.5,1458.85
GLENMARK,577.2,566.9,583.95,565.5,566.35
GLFL,2.05,2.05,2.05,2.05,2.05
GLOBAL,46.65,46.95,46.95,44.85,45.3
GLOBALVECT,41.45,40.5,41.45,40.1,39.5
GLOBE,48.95,48.95,48.95,48.95,48
GLOBUSSPR,319.4,327.85,335,317.05,324.25
GMBREW,394,406.5,406.5,391.6,406.5
GMDCLTD,58.4,57.05,59.8,56.8,57.8
GMMPFAUDLR,4155,4198.85,4217,4146,4219.85
GMRINFRA,22.85,22.85,23.05,22.5,22.85
GNA,382.7,388.9,390,381,392.5
GNFC,360.65,355.3,373.65,350.25,358.55
GOACARBON,314,319,322,312.9,320.35
